BATUCO,PETROBRAS SALIDA NORTE,(80) 0363776
CAMPINA GRANDE DO SUL,TULIO RIO BONITO,(41) 3679-8430
CHAJARI,AXION 321 Ruta 14 Km 321,(54) 9 34564-20368
COLONIA ELIA,YPF Ruta 14 Km 105,(54) 9 34474-14602
COXILHA,COXILHA,(54) 3341-3795
DESAGUADERO,YPF,(26) 1350-2183
FEDERACIÓN,YPF Ruta 14 Km 296,(54) 9 3772585051
FIRMAT,FIRMAT,(34) 6542-4242
IJUI,LAMBARI (pátio),(55) 9112-4985
JOINVILE/SC,RUDINIK,(47) 3431-6000
LABOULAYE,AXION MARTA BERTOLA,(33) 8542-6854
LABOULAYE,YPF RISATTI,(33) 8542-7191
LO SOLAR,RYR COMBUSTIBLES,----
NOGOYA,YPF,(34) 6542-4242
OSÓRIO/RS,TULIO,(41) 3679-8450
PARIQUERA ACU,PETROPEM,(13) 3856-1410
PASO DE LOS LIBRES,BASE QBOX,(54) 9 115863-3523
PAULA FREITAS,CARRETAO,(42) 3562-1122
SAN MARTIN,YPF ELOY GUERRERO,(26) 3425-9600
USPALLATA,YPF KM1151,(26) 1540-6400
VICUÑA MAKENA,SHELL,(35) 8348-8409
VILLAGUAY,YPF KM150, (34) 5544-0278
CAMPINA GRANDE DO SUL, TULIO CARAGUATA, (41) 3679-8440
SAO BORJA, CAVALHADAS, (55) 3431-0700
SANTO ANTONIO DAS MISSOES, SANTA LUCIA, (55) 99916-9618
SALDANHA MARINHO, DO VILLE, (55) 3731-1009
CARAZINHO, RHRISS, (54) 3331-2344
PASSO FUNDO, BUFFON, (54) 3317-9587
GETULIO VARGAS, SAO MIGUEL, (54) 3341-3795
ERECHIM, NOMEMACHER, (54) 3522-1478
CONCORDIA, COOPECARGA, (49) 3301-4859
GENERAL CARNEIRO, OTTO, (42) 3552-1343
LAPA, MARIENTAL 50,(47) 3639-1106
ALEGRETE, TEXACAO, (55) 3422-4155 
SÃO GABRIEL, GAUCHAO, (55) 3232-2615
IMBITUBA, SIMON, (48) 3255-4444
PAULO LOPES, SOROCABA, (48) 3253-0120